key,value
ISO3,COL
HDR Country Name,Colombia
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2022),91
Human Development Index (value) (1990),0.614
Human Development Index (value) (1991),0.622
Human Development Index (value) (1992),0.631
Human Development Index (value) (1993),0.637
Human Development Index (value) (1994),0.643
Human Development Index (value) (1995),0.647
Human Development Index (value) (1996),0.654
Human Development Index (value) (1997),0.661
Human Development Index (value) (1998),0.666
Human Development Index (value) (1999),0.665
Human Development Index (value) (2000),0.672
Human Development Index (value) (2001),0.674
Human Development Index (value) (2002),0.676
Human Development Index (value) (2003),0.683
Human Development Index (value) (2004),0.689
Human Development Index (value) (2005),0.701
Human Development Index (value) (2006),0.703
Human Development Index (value) (2007),0.715
Human Development Index (value) (2008),0.722
Human Development Index (value) (2009),0.728
Human Development Index (value) (2010),0.732
Human Development Index (value) (2011),0.738
Human Development Index (value) (2012),0.739
Human Development Index (value) (2013),0.75
Human Development Index (value) (2014),0.755
Human Development Index (value) (2015),0.758
Human Development Index (value) (2016),0.763
Human Development Index (value) (2017),0.765
Human Development Index (value) (2018),0.766
Human Development Index (value) (2019),0.768
Human Development Index (value) (2020),0.756
Human Development Index (value) (2021),0.752
Human Development Index (value) (2022),0.758
Life Expectancy at Birth (years) (1990),68.644
Life Expectancy at Birth (years) (1991),68.813
Life Expectancy at Birth (years) (1992),69.038
Life Expectancy at Birth (years) (1993),69.342
Life Expectancy at Birth (years) (1994),69.613
Life Expectancy at Birth (years) (1995),69.933
Life Expectancy at Birth (years) (1996),70.189
Life Expectancy at Birth (years) (1997),70.492
Life Expectancy at Birth (years) (1998),70.738
Life Expectancy at Birth (years) (1999),70.926
Life Expectancy at Birth (years) (2000),71.32
Life Expectancy at Birth (years) (2001),71.502
Life Expectancy at Birth (years) (2002),71.939
Life Expectancy at Birth (years) (2003),72.361
Life Expectancy at Birth (years) (2004),72.695
Life Expectancy at Birth (years) (2005),73.081
Life Expectancy at Birth (years) (2006),73.468
Life Expectancy at Birth (years) (2007),73.837
Life Expectancy at Birth (years) (2008),74.295
Life Expectancy at Birth (years) (2009),74.742
Life Expectancy at Birth (years) (2010),75.033
Life Expectancy at Birth (years) (2011),75.32
Life Expectancy at Birth (years) (2012),75.597
Life Expectancy at Birth (years) (2013),75.827
Life Expectancy at Birth (years) (2014),76.043
Life Expectancy at Birth (years) (2015),76.257
Life Expectancy at Birth (years) (2016),76.471
Life Expectancy at Birth (years) (2017),76.646
Life Expectancy at Birth (years) (2018),76.748
Life Expectancy at Birth (years) (2019),76.752
Life Expectancy at Birth (years) (2020),74.769
Life Expectancy at Birth (years) (2021),72.83
Life Expectancy at Birth (years) (2022),73.659
Expected Years of Schooling (years) (1990),9.167188807
Expected Years of Schooling (years) (1991),9.698809624
Expected Years of Schooling (years) (1992),10.26126003
Expected Years of Schooling (years) (1993),10.41952991
Expected Years of Schooling (years) (1994),10.52149963
Expected Years of Schooling (years) (1995),10.55655956
Expected Years of Schooling (years) (1996),11.07009983
Expected Years of Schooling (years) (1997),11.42187977
Expected Years of Schooling (years) (1998),11.77365971
Expected Years of Schooling (years) (1999),11.71802044
Expected Years of Schooling (years) (2000),12.15445042
Expected Years of Schooling (years) (2001),12.15618515
Expected Years of Schooling (years) (2002),12.15791988
Expected Years of Schooling (years) (2003),12.40696001
Expected Years of Schooling (years) (2004),12.65600014
Expected Years of Schooling (years) (2005),13.17887974
Expected Years of Schooling (years) (2006),13.52441025
Expected Years of Schooling (years) (2007),13.78964996
Expected Years of Schooling (years) (2008),13.99300003
Expected Years of Schooling (years) (2009),14.43908978
Expected Years of Schooling (years) (2010),14.41386032
Expected Years of Schooling (years) (2011),14.50032043
Expected Years of Schooling (years) (2012),14.18010044
Expected Years of Schooling (years) (2013),14.7003603
Expected Years of Schooling (years) (2014),14.60217953
Expected Years of Schooling (years) (2015),14.64527988
Expected Years of Schooling (years) (2016),14.76609039
Expected Years of Schooling (years) (2017),14.73616982
Expected Years of Schooling (years) (2018),14.62864017
Expected Years of Schooling (years) (2019),14.52388
Expected Years of Schooling (years) (2020),14.3924799
Expected Years of Schooling (years) (2021),14.43749046
Expected Years of Schooling (years) (2022),14.43749046
Mean Years of Schooling (years) (1990),6.340998417
Mean Years of Schooling (years) (1991),6.39219122
Mean Years of Schooling (years) (1992),6.443797317
Mean Years of Schooling (years) (1993),6.495820045
Mean Years of Schooling (years) (1994),6.54826277
Mean Years of Schooling (years) (1995),6.600705494
Mean Years of Schooling (years) (1996),6.653148218
Mean Years of Schooling (years) (1997),6.705590942
Mean Years of Schooling (years) (1998),6.758033666
Mean Years of Schooling (years) (1999),6.81047639
Mean Years of Schooling (years) (2000),6.862919114
Mean Years of Schooling (years) (2001),6.915361838
Mean Years of Schooling (years) (2002),6.967804562
Mean Years of Schooling (years) (2003),7.020247286
Mean Years of Schooling (years) (2004),7.07269001
