key,value
ISO3,DOM
HDR Country Name,Dominican Republic
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2022),82
Human Development Index (value) (1990),0.579
Human Development Index (value) (1991),0.585
Human Development Index (value) (1992),0.595
Human Development Index (value) (1993),0.602
Human Development Index (value) (1994),0.608
Human Development Index (value) (1995),0.614
Human Development Index (value) (1996),0.621
Human Development Index (value) (1997),0.628
Human Development Index (value) (1998),0.634
Human Development Index (value) (1999),0.64
Human Development Index (value) (2000),0.646
Human Development Index (value) (2001),0.651
Human Development Index (value) (2002),0.657
Human Development Index (value) (2003),0.66
Human Development Index (value) (2004),0.663
Human Development Index (value) (2005),0.674
Human Development Index (value) (2006),0.684
Human Development Index (value) (2007),0.692
Human Development Index (value) (2008),0.697
Human Development Index (value) (2009),0.701
Human Development Index (value) (2010),0.707
Human Development Index (value) (2011),0.712
Human Development Index (value) (2012),0.718
Human Development Index (value) (2013),0.722
Human Development Index (value) (2014),0.728
Human Development Index (value) (2015),0.739
Human Development Index (value) (2016),0.759
Human Development Index (value) (2017),0.761
Human Development Index (value) (2018),0.763
Human Development Index (value) (2019),0.765
Human Development Index (value) (2020),0.76
Human Development Index (value) (2021),0.756
Human Development Index (value) (2022),0.766
Life Expectancy at Birth (years) (1990),67.11
Life Expectancy at Birth (years) (1991),67.625
Life Expectancy at Birth (years) (1992),68.084
Life Expectancy at Birth (years) (1993),68.472
Life Expectancy at Birth (years) (1994),68.792
Life Expectancy at Birth (years) (1995),68.988
Life Expectancy at Birth (years) (1996),69.097
Life Expectancy at Birth (years) (1997),69.166
Life Expectancy at Birth (years) (1998),69.096
Life Expectancy at Birth (years) (1999),69.279
Life Expectancy at Birth (years) (2000),69.423
Life Expectancy at Birth (years) (2001),69.642
Life Expectancy at Birth (years) (2002),69.923
Life Expectancy at Birth (years) (2003),70.265
Life Expectancy at Birth (years) (2004),70.331
Life Expectancy at Birth (years) (2005),70.875
Life Expectancy at Birth (years) (2006),71.165
Life Expectancy at Birth (years) (2007),71.371
Life Expectancy at Birth (years) (2008),71.658
Life Expectancy at Birth (years) (2009),71.871
Life Expectancy at Birth (years) (2010),72.093
Life Expectancy at Birth (years) (2011),72.221
Life Expectancy at Birth (years) (2012),72.514
Life Expectancy at Birth (years) (2013),72.713
Life Expectancy at Birth (years) (2014),72.867
Life Expectancy at Birth (years) (2015),72.953
Life Expectancy at Birth (years) (2016),72.987
Life Expectancy at Birth (years) (2017),73.063
Life Expectancy at Birth (years) (2018),73.232
Life Expectancy at Birth (years) (2019),73.577
Life Expectancy at Birth (years) (2020),72.889
Life Expectancy at Birth (years) (2021),72.615
Life Expectancy at Birth (years) (2022),74.17
Expected Years of Schooling (years) (1990),9.284750781
Expected Years of Schooling (years) (1991),9.453856966
Expected Years of Schooling (years) (1992),9.626043137
Expected Years of Schooling (years) (1993),9.80136539
Expected Years of Schooling (years) (1994),9.979880845
Expected Years of Schooling (years) (1995),10.16164766
Expected Years of Schooling (years) (1996),10.34672505
Expected Years of Schooling (years) (1997),10.53517332
Expected Years of Schooling (years) (1998),10.72705386
Expected Years of Schooling (years) (1999),10.92242918
Expected Years of Schooling (years) (2000),11.12136293
Expected Years of Schooling (years) (2001),11.33143273
Expected Years of Schooling (years) (2002),11.54150252
Expected Years of Schooling (years) (2003),11.75157232
Expected Years of Schooling (years) (2004),11.96164211
Expected Years of Schooling (years) (2005),12.17171191
Expected Years of Schooling (years) (2006),12.3817817
Expected Years of Schooling (years) (2007),12.5918515
Expected Years of Schooling (years) (2008),12.80192129
Expected Years of Schooling (years) (2009),13.01199109
Expected Years of Schooling (years) (2010),13.22206088
Expected Years of Schooling (years) (2011),13.43213068
Expected Years of Schooling (years) (2012),13.64220047
Expected Years of Schooling (years) (2013),13.70403528
Expected Years of Schooling (years) (2014),13.76587009
Expected Years of Schooling (years) (2015),14.46397018
Expected Years of Schooling (years) (2016),14.51723003
Expected Years of Schooling (years) (2017),14.66316986
Expected Years of Schooling (years) (2018),14.56586647
Expected Years of Schooling (years) (2019),14.46856308
Expected Years of Schooling (years) (2020),14.37125969
Expected Years of Schooling (years) (2021),13.55698967
Expected Years of Schooling (years) (2022),13.55698967
Mean Years of Schooling (years) (1990),5.26625239
Mean Years of Schooling (years) (1991),5.397396418
Mean Years of Schooling (years) (1992),5.528540447
Mean Years of Schooling (years) (1993),5.659684475
Mean Years of Schooling (years) (1994),5.790828503
Mean Years of Schooling (years) (1995),5.921972532
Mean Years of Schooling (years) (1996),6.03057618
Mean Years of Schooling (years) (1997),6.139179829
Mean Years of Schooling (years) (1998),6.247783477
Mean Years of Schooling (years) (1999),6.356387126
Mean Years of Schooling (years) (2000),6.464990774
Mean Years of Schooling (years) (2001),6.542857541
Mean Years of Schooling (years) (2002),6.620724308
Mean Years of Schooling (years) (2003),6.698591075
Mean Years of Schooling (years) (2004),6.776457842
Mean Years of Schooling (years) (2005),6.854324609
Mean Years of Schooling (years) (2006),7.012107268
Mean Years of Schooling (years) (2007),7.169889927
Mean Years of Schooling (years) (2008),7.193096638
Mean Years of Schooling (years) (2009),7.216303349
Mean Years of Schooling (years) (2010),7.239510059
Mean Years of Schooling (years) (2011),7.330570221
Mean Years of Schooling (years) (2012),7.429090023
Mean Years of Schooling (years) (2013),7.516860008
Mean Years of Schooling (years) (2014),7.650459766
Mean Years of Schooling (years) (2015),7.718160152
Mean Years of Schooling (years) (2016),9.044050217
Mean Years of Schooling (years) (2017),8.984526952
Mean Years of Schooling (years) (2018),8.925003688
Mean Years of Schooling (years) (2019),8.865480423
Mean Years of Schooling (years) (2020),9.150526383
Mean Years of Schooling (years) (2021),9.150526383
Mean Years of Schooling (years) (2022),9.150526383
Gross National Income Per Capita (2017 PPP$) (1990),5945.853794
Gross National Income Per Capita (2017 PPP$) (1991),5909.462105
Gross National Income Per Capita (2017 PPP$) (1992),6435.250532
Gross National Income Per Capita (2017 PPP$) (1993),6662.256843
Gross National Income Per Capita (2017 PPP$) (1994),6749.281125
Gross National Income Per Capita (2017 PPP$) (1995),7001.230525
Gross National Income Per Capita (2017 PPP$) (1996),7340.967283
Gross National Income Per Capita (2017 PPP$) (1997),7854.665257
Gross National Income Per Capita (2017 PPP$) (1998),8228.843672
Gross National Income Per Capita (2017 PPP$) (1999),8560.607799
Gross National Income Per Capita (2017 PPP$) (2000),8841.374814
Gross National Income Per Capita (2017 PPP$) (2001),8922.636231
Gross National Income Per Capita (2017 PPP$) (2002),9195.327189
Gross National Income Per Capita (2017 PPP$) (2003),8724.476247
Gross National Income Per Capita (2017 PPP$) (2004),8668.309144
Gross National Income Per Capita (2017 PPP$) (2005),9671.668674
Gross National Income Per Capita (2017 PPP$) (2006),10473.72723
Gross National Income Per Capita (2017 PPP$) (2007),11102.55452
Gross National Income Per Capita (2017 PPP$) (2008),11481.17006
Gross National Income Per Capita (2017 PPP$) (2009),11435.12522
Gross National Income Per Capita (2017 PPP$) (2010),12229.39414
Gross National Income Per Capita (2017 PPP$) (2011),12418.22533
Gross National Income Per Capita (2017 PPP$) (2012),12583.49887
Gross National Income Per Capita (2017 PPP$) (2013),12930.68766
Gross National Income Per Capita (2017 PPP$) (2014),13660.57907
Gross National Income Per Capita (2017 PPP$) (2015),14522.41993
Gross National Income Per Capita (2017 PPP$) (2016),15274.83444
Gross National Income Per Capita (2017 PPP$) (2017),15740.87931
Gross National Income Per Capita (2017 PPP$) (2018),16736.19058
Gross National Income Per Capita (2017 PPP$) (2019),17341.01196
Gross National Income Per Capita (2017 PPP$) (2020),15993.16697
Gross National Income Per Capita (2017 PPP$) (2021),17784.08631
Gross National Income Per Capita (2017 PPP$) (2022),18653.26836
GDI Group (2022),2
