key,value
ISO3,CRI
HDR Country Name,Costa Rica
Human Development Groups,Very High
UNDP Developeing Regions,LAC
HDI Rank (2022),64
Human Development Index (value) (1990),0.659
Human Development Index (value) (1991),0.662
Human Development Index (value) (1992),0.673
Human Development Index (value) (1993),0.681
Human Development Index (value) (1994),0.684
Human Development Index (value) (1995),0.69
Human Development Index (value) (1996),0.692
Human Development Index (value) (1997),0.699
Human Development Index (value) (1998),0.705
Human Development Index (value) (1999),0.707
Human Development Index (value) (2000),0.709
Human Development Index (value) (2001),0.714
Human Development Index (value) (2002),0.721
Human Development Index (value) (2003),0.726
Human Development Index (value) (2004),0.731
Human Development Index (value) (2005),0.739
Human Development Index (value) (2006),0.745
Human Development Index (value) (2007),0.754
Human Development Index (value) (2008),0.762
Human Development Index (value) (2009),0.765
Human Development Index (value) (2010),0.769
Human Development Index (value) (2011),0.778
Human Development Index (value) (2012),0.782
Human Development Index (value) (2013),0.787
Human Development Index (value) (2014),0.79
Human Development Index (value) (2015),0.792
Human Development Index (value) (2016),0.796
Human Development Index (value) (2017),0.8
Human Development Index (value) (2018),0.804
Human Development Index (value) (2019),0.811
Human Development Index (value) (2020),0.811
Human Development Index (value) (2021),0.804
Human Development Index (value) (2022),0.806
Life Expectancy at Birth (years) (1990),76.63
Life Expectancy at Birth (years) (1991),76.591
Life Expectancy at Birth (years) (1992),76.627
Life Expectancy at Birth (years) (1993),76.703
Life Expectancy at Birth (years) (1994),76.67
Life Expectancy at Birth (years) (1995),76.552
Life Expectancy at Birth (years) (1996),76.804
Life Expectancy at Birth (years) (1997),77.07
Life Expectancy at Birth (years) (1998),76.896
Life Expectancy at Birth (years) (1999),77.138
Life Expectancy at Birth (years) (2000),77.586
Life Expectancy at Birth (years) (2001),77.545
Life Expectancy at Birth (years) (2002),77.983
Life Expectancy at Birth (years) (2003),78.072
Life Expectancy at Birth (years) (2004),78.331
Life Expectancy at Birth (years) (2005),78.505
Life Expectancy at Birth (years) (2006),78.514
Life Expectancy at Birth (years) (2007),78.462
Life Expectancy at Birth (years) (2008),78.445
Life Expectancy at Birth (years) (2009),78.672
Life Expectancy at Birth (years) (2010),78.67
Life Expectancy at Birth (years) (2011),79.348
Life Expectancy at Birth (years) (2012),79.283
Life Expectancy at Birth (years) (2013),79.403
Life Expectancy at Birth (years) (2014),78.774
Life Expectancy at Birth (years) (2015),79.086
Life Expectancy at Birth (years) (2016),79.459
Life Expectancy at Birth (years) (2017),79.377
Life Expectancy at Birth (years) (2018),79.484
Life Expectancy at Birth (years) (2019),79.427
Life Expectancy at Birth (years) (2020),79.277
Life Expectancy at Birth (years) (2021),77.023
Life Expectancy at Birth (years) (2022),77.32
Expected Years of Schooling (years) (1990),9.739709854
Expected Years of Schooling (years) (1991),9.978110313
Expected Years of Schooling (years) (1992),10.24223995
Expected Years of Schooling (years) (1993),10.39446497
Expected Years of Schooling (years) (1994),10.54668999
Expected Years of Schooling (years) (1995),10.698915
Expected Years of Schooling (years) (1996),10.85114002
Expected Years of Schooling (years) (1997),11.00336504
Expected Years of Schooling (years) (1998),11.15559006
Expected Years of Schooling (years) (1999),11.30781507
Expected Years of Schooling (years) (2000),11.46004009
Expected Years of Schooling (years) (2001),11.61226511
Expected Years of Schooling (years) (2002),11.76449013
Expected Years of Schooling (years) (2003),11.91671515
Expected Years of Schooling (years) (2004),12.06894016
Expected Years of Schooling (years) (2005),12.34011868
Expected Years of Schooling (years) (2006),12.6112972
Expected Years of Schooling (years) (2007),12.88247572
Expected Years of Schooling (years) (2008),13.15365423
Expected Years of Schooling (years) (2009),13.42483275
Expected Years of Schooling (years) (2010),13.69601127
Expected Years of Schooling (years) (2011),13.96718979
Expected Years of Schooling (years) (2012),14.13411999
Expected Years of Schooling (years) (2013),14.33946991
Expected Years of Schooling (years) (2014),14.63490963
Expected Years of Schooling (years) (2015),14.69305038
Expected Years of Schooling (years) (2016),14.81766033
Expected Years of Schooling (years) (2017),15.06278992
Expected Years of Schooling (years) (2018),15.22842026
Expected Years of Schooling (years) (2019),15.8384304
Expected Years of Schooling (years) (2020),16.09200378
Expected Years of Schooling (years) (2021),16.09200378
Expected Years of Schooling (years) (2022),16.09200378
Mean Years of Schooling (years) (1990),6.246158944
Mean Years of Schooling (years) (1991),6.207062733
Mean Years of Schooling (years) (1992),6.489623811
Mean Years of Schooling (years) (1993),6.7170524
Mean Years of Schooling (years) (1994),6.73303985
Mean Years of Schooling (years) (1995),6.962734944
Mean Years of Schooling (years) (1996),6.941064556
Mean Years of Schooling (years) (1997),7.114540012
Mean Years of Schooling (years) (1998),7.321519931
Mean Years of Schooling (years) (1999),7.30533652
Mean Years of Schooling (years) (2000),7.142045964
