key,value
ISO3,PAN
HDR Country Name,Panama
Human Development Groups,Very High
UNDP Developeing Regions,LAC
HDI Rank (2022),57
Human Development Index (value) (1990),0.672
Human Development Index (value) (1991),0.675
Human Development Index (value) (1992),0.681
Human Development Index (value) (1993),0.687
Human Development Index (value) (1994),0.689
Human Development Index (value) (1995),0.692
Human Development Index (value) (1996),0.697
Human Development Index (value) (1997),0.703
Human Development Index (value) (1998),0.71
Human Development Index (value) (1999),0.716
Human Development Index (value) (2000),0.722
Human Development Index (value) (2001),0.727
Human Development Index (value) (2002),0.734
Human Development Index (value) (2003),0.738
Human Development Index (value) (2004),0.744
Human Development Index (value) (2005),0.75
Human Development Index (value) (2006),0.756
Human Development Index (value) (2007),0.765
Human Development Index (value) (2008),0.769
Human Development Index (value) (2009),0.771
Human Development Index (value) (2010),0.775
Human Development Index (value) (2011),0.781
Human Development Index (value) (2012),0.788
Human Development Index (value) (2013),0.794
Human Development Index (value) (2014),0.797
Human Development Index (value) (2015),0.802
Human Development Index (value) (2016),0.809
Human Development Index (value) (2017),0.814
Human Development Index (value) (2018),0.817
Human Development Index (value) (2019),0.82
Human Development Index (value) (2020),0.809
Human Development Index (value) (2021),0.813
Human Development Index (value) (2022),0.82
Life Expectancy at Birth (years) (1990),71.097
Life Expectancy at Birth (years) (1991),71.207
Life Expectancy at Birth (years) (1992),71.462
Life Expectancy at Birth (years) (1993),71.8
Life Expectancy at Birth (years) (1994),72.096
Life Expectancy at Birth (years) (1995),72.385
Life Expectancy at Birth (years) (1996),72.675
Life Expectancy at Birth (years) (1997),72.97
Life Expectancy at Birth (years) (1998),73.279
Life Expectancy at Birth (years) (1999),73.622
Life Expectancy at Birth (years) (2000),74.001
Life Expectancy at Birth (years) (2001),74.414
Life Expectancy at Birth (years) (2002),74.824
Life Expectancy at Birth (years) (2003),75.218
Life Expectancy at Birth (years) (2004),75.544
Life Expectancy at Birth (years) (2005),75.829
Life Expectancy at Birth (years) (2006),76.012
Life Expectancy at Birth (years) (2007),76.154
Life Expectancy at Birth (years) (2008),76.225
Life Expectancy at Birth (years) (2009),76.343
Life Expectancy at Birth (years) (2010),76.448
Life Expectancy at Birth (years) (2011),76.627
Life Expectancy at Birth (years) (2012),76.819
Life Expectancy at Birth (years) (2013),77.038
Life Expectancy at Birth (years) (2014),77.248
Life Expectancy at Birth (years) (2015),77.468
Life Expectancy at Birth (years) (2016),77.653
Life Expectancy at Birth (years) (2017),77.795
Life Expectancy at Birth (years) (2018),77.863
Life Expectancy at Birth (years) (2019),77.81
Life Expectancy at Birth (years) (2020),76.657
Life Expectancy at Birth (years) (2021),76.223
Life Expectancy at Birth (years) (2022),76.826
Expected Years of Schooling (years) (1990),10.88070965
Expected Years of Schooling (years) (1991),10.82633972
Expected Years of Schooling (years) (1992),10.9026804
Expected Years of Schooling (years) (1993),11.05078983
Expected Years of Schooling (years) (1994),10.98091984
Expected Years of Schooling (years) (1995),11.18601036
Expected Years of Schooling (years) (1996),11.37605953
Expected Years of Schooling (years) (1997),11.6153663
Expected Years of Schooling (years) (1998),11.85467307
Expected Years of Schooling (years) (1999),12.09397984
