key,value
ISO3,CHL
HDR Country Name,Chile
Human Development Groups,Very High
UNDP Developeing Regions,LAC
HDI Rank (2022),44
Human Development Index (value) (1990),0.705
Human Development Index (value) (1991),0.714
Human Development Index (value) (1992),0.722
Human Development Index (value) (1993),0.716
Human Development Index (value) (1994),0.722
Human Development Index (value) (1995),0.728
Human Development Index (value) (1996),0.735
Human Development Index (value) (1997),0.744
Human Development Index (value) (1998),0.749
Human Development Index (value) (1999),0.756
Human Development Index (value) (2000),0.763
Human Development Index (value) (2001),0.767
Human Development Index (value) (2002),0.775
Human Development Index (value) (2003),0.78
Human Development Index (value) (2004),0.787
Human Development Index (value) (2005),0.795
Human Development Index (value) (2006),0.796
Human Development Index (value) (2007),0.801
Human Development Index (value) (2008),0.812
Human Development Index (value) (2009),0.811
Human Development Index (value) (2010),0.813
Human Development Index (value) (2011),0.816
Human Development Index (value) (2012),0.824
Human Development Index (value) (2013),0.837
Human Development Index (value) (2014),0.841
Human Development Index (value) (2015),0.846
Human Development Index (value) (2016),0.851
Human Development Index (value) (2017),0.854
Human Development Index (value) (2018),0.856
Human Development Index (value) (2019),0.859
Human Development Index (value) (2020),0.849
Human Development Index (value) (2021),0.856
Human Development Index (value) (2022),0.86
Life Expectancy at Birth (years) (1990),72.574
Life Expectancy at Birth (years) (1991),73.574
Life Expectancy at Birth (years) (1992),74.135
Life Expectancy at Birth (years) (1993),74.195
Life Expectancy at Birth (years) (1994),74.614
Life Expectancy at Birth (years) (1995),74.609
Life Expectancy at Birth (years) (1996),74.899
Life Expectancy at Birth (years) (1997),75.596
Life Expectancy at Birth (years) (1998),75.669
Life Expectancy at Birth (years) (1999),76.018
Life Expectancy at Birth (years) (2000),76.87
Life Expectancy at Birth (years) (2001),76.773
Life Expectancy at Birth (years) (2002),77.445
Life Expectancy at Birth (years) (2003),77.387
Life Expectancy at Birth (years) (2004),77.616
Life Expectancy at Birth (years) (2005),78.016
Life Expectancy at Birth (years) (2006),78.261
Life Expectancy at Birth (years) (2007),77.826
Life Expectancy at Birth (years) (2008),78.484
Life Expectancy at Birth (years) (2009),78.741
Life Expectancy at Birth (years) (2010),78.501
Life Expectancy at Birth (years) (2011),79.11
Life Expectancy at Birth (years) (2012),79.023
Life Expectancy at Birth (years) (2013),79.339
Life Expectancy at Birth (years) (2014),79.473
Life Expectancy at Birth (years) (2015),79.746
Life Expectancy at Birth (years) (2016),80.079
Life Expectancy at Birth (years) (2017),80.35
Life Expectancy at Birth (years) (2018),80.133
Life Expectancy at Birth (years) (2019),80.326
Life Expectancy at Birth (years) (2020),79.377
Life Expectancy at Birth (years) (2021),78.944
Life Expectancy at Birth (years) (2022),79.519
Expected Years of Schooling (years) (1990),12.74779872
Expected Years of Schooling (years) (1991),12.73688984
Expected Years of Schooling (years) (1992),12.7259903
Expected Years of Schooling (years) (1993),11.73915958
Expected Years of Schooling (years) (1994),11.91450367
Expected Years of Schooling (years) (1995),12.08984776
Expected Years of Schooling (years) (1996),12.26519184
Expected Years of Schooling (years) (1997),12.44053593
Expected Years of Schooling (years) (1998),12.61588001
Expected Years of Schooling (years) (1999),13.08310032
Expected Years of Schooling (years) (2000),13.13626003
Expected Years of Schooling (years) (2001),13.33110523
Expected Years of Schooling (years) (2002),13.52595043
Expected Years of Schooling (years) (2003),13.74680042
Expected Years of Schooling (years) (2004),14.06828022
Expected Years of Schooling (years) (2005),14.38132
Expected Years of Schooling (years) (2006),14.31814957
Expected Years of Schooling (years) (2007),14.70213032
Expected Years of Schooling (years) (2008),14.85708046
Expected Years of Schooling (years) (2009),14.88204002
Expected Years of Schooling (years) (2010),15.09842968
Expected Years of Schooling (years) (2011),15.31116009
Expected Years of Schooling (years) (2012),15.41316986
Expected Years of Schooling (years) (2013),16.10619926
Expected Years of Schooling (years) (2014),16.26062965
Expected Years of Schooling (years) (2015),16.39200974
Expected Years of Schooling (years) (2016),16.49542999
Expected Years of Schooling (years) (2017),16.53348923
Expected Years of Schooling (years) (2018),16.60621071
Expected Years of Schooling (years) (2019),16.64357948
Expected Years of Schooling (years) (2020),16.34049988
Expected Years of Schooling (years) (2021),16.76792908
Expected Years of Schooling (years) (2022),16.76792908
Mean Years of Schooling (years) (1990),8.387270623
Mean Years of Schooling (years) (1991),8.466750993
Mean Years of Schooling (years) (1992),8.546231363
Mean Years of Schooling (years) (1993),8.625711733
Mean Years of Schooling (years) (1994),8.705192103
Mean Years of Schooling (years) (1995),8.784672473
Mean Years of Schooling (years) (1996),8.857878077
Mean Years of Schooling (years) (1997),8.931083681
Mean Years of Schooling (years) (1998),9.004289285
Mean Years of Schooling (years) (1999),9.077494889
Mean Years of Schooling (years) (2000),9.150700493
Mean Years of Schooling (years) (2001),9.288745346
Mean Years of Schooling (years) (2002),9.426790199
Mean Years of Schooling (years) (2003),9.564835053
Mean Years of Schooling (years) (2004),9.702879906
Mean Years of Schooling (years) (2005),9.736940066
Mean Years of Schooling (years) (2006),9.771000226
Mean Years of Schooling (years) (2007),9.805060387
Mean Years of Schooling (years) (2008),10.1062603
Mean Years of Schooling (years) (2009),9.97935009
Mean Years of Schooling (years) (2010),9.85243988
Mean Years of Schooling (years) (2011),9.544130325
Mean Years of Schooling (years) (2012),9.776545048
Mean Years of Schooling (years) (2013),10.00895977
Mean Years of Schooling (years) (2014),10.13243484
Mean Years of Schooling (years) (2015),10.25590992
Mean Years of Schooling (years) (2016),10.42321491
Mean Years of Schooling (years) (2017),10.59051991
Mean Years of Schooling (years) (2018),10.76136507
Mean Years of Schooling (years) (2019),10.9349663
Mean Years of Schooling (years) (2020),11.11136804
Mean Years of Schooling (years) (2021),11.11136804
Mean Years of Schooling (years) (2022),11.11136804
Gross National Income Per Capita (2017 PPP$) (1990),9302.786094
Gross National Income Per Capita (2017 PPP$) (1991),9876.861493
Gross National Income Per Capita (2017 PPP$) (1992),10895.25699
Gross National Income Per Capita (2017 PPP$) (1993),11503.52562
Gross National Income Per Capita (2017 PPP$) (1994),11786.4719
Gross National Income Per Capita (2017 PPP$) (1995),12708.47824
Gross National Income Per Capita (2017 PPP$) (1996),13461.31832
Gross National Income Per Capita (2017 PPP$) (1997),14285.47084
Gross National Income Per Capita (2017 PPP$) (1998),14800.68814
Gross National Income Per Capita (2017 PPP$) (1999),14505.38661
Gross National Income Per Capita (2017 PPP$) (2000),14965.909
Gross National Income Per Capita (2017 PPP$) (2001),15298.65217
Gross National Income Per Capita (2017 PPP$) (2002),15542.03015
Gross National Income Per Capita (2017 PPP$) (2003),15918.80923
Gross National Income Per Capita (2017 PPP$) (2004),16392.18254
Gross National Income Per Capita (2017 PPP$) (2005),17046.35547
Gross National Income Per Capita (2017 PPP$) (2006),17211.43564
Gross National Income Per Capita (2017 PPP$) (2007),18080.78929
Gross National Income Per Capita (2017 PPP$) (2008),19131.06769
Gross National Income Per Capita (2017 PPP$) (2009),18917.49378
Gross National Income Per Capita (2017 PPP$) (2010),19825.32272
Gross National Income Per Capita (2017 PPP$) (2011),20340.00784
Gross National Income Per Capita (2017 PPP$) (2012),22185.81902
Gross National Income Per Capita (2017 PPP$) (2013),22956.33749
Gross National Income Per Capita (2017 PPP$) (2014),23148.29938
Gross National Income Per Capita (2017 PPP$) (2015),23886.42804
Gross National Income Per Capita (2017 PPP$) (2016),23933.09899
Gross National Income Per Capita (2017 PPP$) (2017),23592.6732
Gross National Income Per Capita (2017 PPP$) (2018),24051.74655
Gross National Income Per Capita (2017 PPP$) (2019),23892.70513
Gross National Income Per Capita (2017 PPP$) (2020),21509.35879
Gross National Income Per Capita (2017 PPP$) (2021),23852.84341
Gross National Income Per Capita (2017 PPP$) (2022),24430.99593
GDI Group (2022),2
Gender Development Index (value) (1990),0.929
