key,value
ISO3,PER
HDR Country Name,Peru
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2022),87
Human Development Index (value) (1990),0.62
Human Development Index (value) (1991),0.624
Human Development Index (value) (1992),0.624
Human Development Index (value) (1993),0.628
Human Development Index (value) (1994),0.637
Human Development Index (value) (1995),0.646
Human Development Index (value) (1996),0.65
Human Development Index (value) (1997),0.655
Human Development Index (value) (1998),0.663
Human Development Index (value) (1999),0.672
Human Development Index (value) (2000),0.675
Human Development Index (value) (2001),0.683
Human Development Index (value) (2002),0.684
Human Development Index (value) (2003),0.683
Human Development Index (value) (2004),0.69
Human Development Index (value) (2005),0.685
Human Development Index (value) (2006),0.69
Human Development Index (value) (2007),0.7
Human Development Index (value) (2008),0.707
Human Development Index (value) (2009),0.711
Human Development Index (value) (2010),0.725
Human Development Index (value) (2011),0.731
Human Development Index (value) (2012),0.741
Human Development Index (value) (2013),0.749
Human Development Index (value) (2014),0.754
Human Development Index (value) (2015),0.758
Human Development Index (value) (2016),0.764
Human Development Index (value) (2017),0.765
Human Development Index (value) (2018),0.77
Human Development Index (value) (2019),0.774
Human Development Index (value) (2020),0.758
Human Development Index (value) (2021),0.755
Human Development Index (value) (2022),0.762
Life Expectancy at Birth (years) (1990),65.106
Life Expectancy at Birth (years) (1991),65.434
Life Expectancy at Birth (years) (1992),66.149
Life Expectancy at Birth (years) (1993),66.681
Life Expectancy at Birth (years) (1994),67.227
Life Expectancy at Birth (years) (1995),67.644
Life Expectancy at Birth (years) (1996),68.147
Life Expectancy at Birth (years) (1997),68.605
Life Expectancy at Birth (years) (1998),69.082
Life Expectancy at Birth (years) (1999),69.743
Life Expectancy at Birth (years) (2000),70.424
Life Expectancy at Birth (years) (2001),71.041
Life Expectancy at Birth (years) (2002),71.661
Life Expectancy at Birth (years) (2003),72.217
Life Expectancy at Birth (years) (2004),72.668
Life Expectancy at Birth (years) (2005),72.986
Life Expectancy at Birth (years) (2006),73.172
Life Expectancy at Birth (years) (2007),73.223
Life Expectancy at Birth (years) (2008),73.377
Life Expectancy at Birth (years) (2009),73.466
Life Expectancy at Birth (years) (2010),73.711
Life Expectancy at Birth (years) (2011),74.133
Life Expectancy at Birth (years) (2012),74.544
Life Expectancy at Birth (years) (2013),74.967
Life Expectancy at Birth (years) (2014),75.333
Life Expectancy at Birth (years) (2015),75.621
Life Expectancy at Birth (years) (2016),75.789
Life Expectancy at Birth (years) (2017),75.879
Life Expectancy at Birth (years) (2018),76.009
Life Expectancy at Birth (years) (2019),76.156
Life Expectancy at Birth (years) (2020),73.665
Life Expectancy at Birth (years) (2021),72.377
Life Expectancy at Birth (years) (2022),73.385
Expected Years of Schooling (years) (1990),11.68725967
Expected Years of Schooling (years) (1991),11.63395023
Expected Years of Schooling (years) (1992),11.39299011
Expected Years of Schooling (years) (1993),11.35470963
Expected Years of Schooling (years) (1994),11.47558975
Expected Years of Schooling (years) (1995),11.8151598
Expected Years of Schooling (years) (1996),11.79951
Expected Years of Schooling (years) (1997),11.74619007
Expected Years of Schooling (years) (1998),12.36009502
Expected Years of Schooling (years) (1999),12.97399998
Expected Years of Schooling (years) (2000),12.81503963
Expected Years of Schooling (years) (2001),13.30440998
Expected Years of Schooling (years) (2002),12.82085037
Expected Years of Schooling (years) (2003),12.32927036
Expected Years of Schooling (years) (2004),12.58325958
Expected Years of Schooling (years) (2005),12.61705971
Expected Years of Schooling (years) (2006),12.82301044
Expected Years of Schooling (years) (2007),13.01933336
Expected Years of Schooling (years) (2008),13.21565628
Expected Years of Schooling (years) (2009),13.4119792
Expected Years of Schooling (years) (2010),13.60830212
Expected Years of Schooling (years) (2011),13.80462503
Expected Years of Schooling (years) (2012),14.00094795
Expected Years of Schooling (years) (2013),14.19727087
Expected Years of Schooling (years) (2014),14.39359379
Expected Years of Schooling (years) (2015),14.58991671
Expected Years of Schooling (years) (2016),14.78623962
Expected Years of Schooling (years) (2017),14.49571037
Expected Years of Schooling (years) (2018),14.59804249
Expected Years of Schooling (years) (2019),14.70109703
Expected Years of Schooling (years) (2020),14.80487907
Expected Years of Schooling (years) (2021),14.80487907
Expected Years of Schooling (years) (2022),14.80487907
Mean Years of Schooling (years) (1990),7.781378166
Mean Years of Schooling (years) (1991),7.838587107
Mean Years of Schooling (years) (1992),7.896216649
Mean Years of Schooling (years) (1993),7.954269886
Mean Years of Schooling (years) (1994),8.012749932
Mean Years of Schooling (years) (1995),8.071229978
Mean Years of Schooling (years) (1996),8.129710024
Mean Years of Schooling (years) (1997),8.18819007
Mean Years of Schooling (years) (1998),8.246670116
Mean Years of Schooling (years) (1999),8.305150162
Mean Years of Schooling (years) (2000),8.363630208
Mean Years of Schooling (years) (2001),8.422110254
Mean Years of Schooling (years) (2002),8.4805903
Mean Years of Schooling (years) (2003),8.539070346
Mean Years of Schooling (years) (2004),8.597550392
Mean Years of Schooling (years) (2005),7.924409866
Mean Years of Schooling (years) (2006),7.928460121
Mean Years of Schooling (years) (2007),8.18680954
Mean Years of Schooling (years) (2008),8.187299728
Mean Years of Schooling (years) (2009),8.217120171
Mean Years of Schooling (years) (2010),8.865139961
Mean Years of Schooling (years) (2011),8.887160301
Mean Years of Schooling (years) (2012),9.082159996
Mean Years of Schooling (years) (2013),9.136059761
