key,value
ISO3,BRA
HDR Country Name,Brazil
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2022),89
Human Development Index (value) (1990),0.62
Human Development Index (value) (1991),0.624
Human Development Index (value) (1992),0.627
Human Development Index (value) (1993),0.633
Human Development Index (value) (1994),0.638
Human Development Index (value) (1995),0.645
Human Development Index (value) (1996),0.65
Human Development Index (value) (1997),0.656
Human Development Index (value) (1998),0.66
Human Development Index (value) (1999),0.663
Human Development Index (value) (2000),0.668
Human Development Index (value) (2001),0.673
Human Development Index (value) (2002),0.678
Human Development Index (value) (2003),0.682
Human Development Index (value) (2004),0.689
Human Development Index (value) (2005),0.696
Human Development Index (value) (2006),0.701
Human Development Index (value) (2007),0.708
Human Development Index (value) (2008),0.714
Human Development Index (value) (2009),0.717
Human Development Index (value) (2010),0.722
Human Development Index (value) (2011),0.727
Human Development Index (value) (2012),0.732
Human Development Index (value) (2013),0.75
Human Development Index (value) (2014),0.753
Human Development Index (value) (2015),0.752
Human Development Index (value) (2016),0.753
Human Development Index (value) (2017),0.758
Human Development Index (value) (2018),0.762
Human Development Index (value) (2019),0.764
Human Development Index (value) (2020),0.758
Human Development Index (value) (2021),0.756
Human Development Index (value) (2022),0.76
Life Expectancy at Birth (years) (1990),65.985
Life Expectancy at Birth (years) (1991),66.31
Life Expectancy at Birth (years) (1992),66.708
Life Expectancy at Birth (years) (1993),67.109
Life Expectancy at Birth (years) (1994),67.568
Life Expectancy at Birth (years) (1995),67.919
Life Expectancy at Birth (years) (1996),68.409
Life Expectancy at Birth (years) (1997),68.813
Life Expectancy at Birth (years) (1998),69.189
Life Expectancy at Birth (years) (1999),69.524
Life Expectancy at Birth (years) (2000),69.737
Life Expectancy at Birth (years) (2001),70.195
Life Expectancy at Birth (years) (2002),70.41
Life Expectancy at Birth (years) (2003),70.72
Life Expectancy at Birth (years) (2004),71.131
Life Expectancy at Birth (years) (2005),71.753
Life Expectancy at Birth (years) (2006),72.037
Life Expectancy at Birth (years) (2007),72.365
Life Expectancy at Birth (years) (2008),72.715
Life Expectancy at Birth (years) (2009),72.948
Life Expectancy at Birth (years) (2010),73.182
Life Expectancy at Birth (years) (2011),73.343
Life Expectancy at Birth (years) (2012),73.552
Life Expectancy at Birth (years) (2013),73.918
Life Expectancy at Birth (years) (2014),74.306
Life Expectancy at Birth (years) (2015),74.332
Life Expectancy at Birth (years) (2016),74.442
Life Expectancy at Birth (years) (2017),74.827
Life Expectancy at Birth (years) (2018),75.109
Life Expectancy at Birth (years) (2019),75.338
Life Expectancy at Birth (years) (2020),74.009
Life Expectancy at Birth (years) (2021),72.75
Life Expectancy at Birth (years) (2022),73.425
Expected Years of Schooling (years) (1990),12.92652101
Expected Years of Schooling (years) (1991),12.97149303
Expected Years of Schooling (years) (1992),13.0166215
Expected Years of Schooling (years) (1993),13.06190699
Expected Years of Schooling (years) (1994),13.10735002
Expected Years of Schooling (years) (1995),13.15295115
Expected Years of Schooling (years) (1996),13.19871093
Expected Years of Schooling (years) (1997),13.24462991
Expected Years of Schooling (years) (1998),13.29070864
Expected Years of Schooling (years) (1999),13.33694769
Expected Years of Schooling (years) (2000),13.3833476
Expected Years of Schooling (years) (2001),13.42990894
Expected Years of Schooling (years) (2002),13.47663227
Expected Years of Schooling (years) (2003),13.52351815
Expected Years of Schooling (years) (2004),13.57056715
Expected Years of Schooling (years) (2005),13.61777984
Expected Years of Schooling (years) (2006),13.66515678
Expected Years of Schooling (years) (2007),13.71269855
Expected Years of Schooling (years) (2008),13.76040572
Expected Years of Schooling (years) (2009),13.80827886
Expected Years of Schooling (years) (2010),13.85631856
