key,value
ISO3,BOL
HDR Country Name,Bolivia (Plurinational State of)
Human Development Groups,Medium
UNDP Developeing Regions,LAC
HDI Rank (2022),120
Human Development Index (value) (1990),0.546
Human Development Index (value) (1991),0.556
Human Development Index (value) (1992),0.563
Human Development Index (value) (1993),0.573
Human Development Index (value) (1994),0.582
Human Development Index (value) (1995),0.592
Human Development Index (value) (1996),0.603
Human Development Index (value) (1997),0.615
Human Development Index (value) (1998),0.626
Human Development Index (value) (1999),0.625
Human Development Index (value) (2000),0.625
Human Development Index (value) (2001),0.625
Human Development Index (value) (2002),0.622
Human Development Index (value) (2003),0.619
Human Development Index (value) (2004),0.626
Human Development Index (value) (2005),0.634
Human Development Index (value) (2006),0.637
Human Development Index (value) (2007),0.644
Human Development Index (value) (2008),0.651
Human Development Index (value) (2009),0.657
Human Development Index (value) (2010),0.661
Human Development Index (value) (2011),0.667
Human Development Index (value) (2012),0.673
Human Development Index (value) (2013),0.681
Human Development Index (value) (2014),0.683
Human Development Index (value) (2015),0.688
Human Development Index (value) (2016),0.7
Human Development Index (value) (2017),0.707
Human Development Index (value) (2018),0.712
Human Development Index (value) (2019),0.715
Human Development Index (value) (2020),0.691
Human Development Index (value) (2021),0.691
Human Development Index (value) (2022),0.698
Life Expectancy at Birth (years) (1990),56.422
Life Expectancy at Birth (years) (1991),57.097
Life Expectancy at Birth (years) (1992),57.629
Life Expectancy at Birth (years) (1993),58.418
Life Expectancy at Birth (years) (1994),58.989
Life Expectancy at Birth (years) (1995),59.534
Life Expectancy at Birth (years) (1996),60.084
Life Expectancy at Birth (years) (1997),60.752
Life Expectancy at Birth (years) (1998),61.332
Life Expectancy at Birth (years) (1999),61.871
Life Expectancy at Birth (years) (2000),62.346
Life Expectancy at Birth (years) (2001),62.843
Life Expectancy at Birth (years) (2002),63.306
Life Expectancy at Birth (years) (2003),63.635
Life Expectancy at Birth (years) (2004),64.004
Life Expectancy at Birth (years) (2005),64.386
Life Expectancy at Birth (years) (2006),64.779
Life Expectancy at Birth (years) (2007),65.027
Life Expectancy at Birth (years) (2008),65.446
Life Expectancy at Birth (years) (2009),65.88
Life Expectancy at Birth (years) (2010),66.162
Life Expectancy at Birth (years) (2011),66.534
Life Expectancy at Birth (years) (2012),66.705
Life Expectancy at Birth (years) (2013),67.021
Life Expectancy at Birth (years) (2014),67.163
