key,value
ISO3,ECU
HDR Country Name,Ecuador
Human Development Groups,High
UNDP Developeing Regions,LAC
HDI Rank (2022),83
Human Development Index (value) (1990),0.645
Human Development Index (value) (1991),0.647
Human Development Index (value) (1992),0.652
Human Development Index (value) (1993),0.656
Human Development Index (value) (1994),0.662
Human Development Index (value) (1995),0.667
Human Development Index (value) (1996),0.67
Human Development Index (value) (1997),0.676
Human Development Index (value) (1998),0.681
Human Development Index (value) (1999),0.681
Human Development Index (value) (2000),0.684
Human Development Index (value) (2001),0.691
Human Development Index (value) (2002),0.697
Human Development Index (value) (2003),0.701
Human Development Index (value) (2004),0.708
Human Development Index (value) (2005),0.714
Human Development Index (value) (2006),0.719
Human Development Index (value) (2007),0.722
Human Development Index (value) (2008),0.728
Human Development Index (value) (2009),0.73
Human Development Index (value) (2010),0.736
Human Development Index (value) (2011),0.743
Human Development Index (value) (2012),0.75
Human Development Index (value) (2013),0.755
Human Development Index (value) (2014),0.759
Human Development Index (value) (2015),0.764
Human Development Index (value) (2016),0.761
Human Development Index (value) (2017),0.762
Human Development Index (value) (2018),0.761
Human Development Index (value) (2019),0.758
Human Development Index (value) (2020),0.734
Human Development Index (value) (2021),0.746
Human Development Index (value) (2022),0.765
Life Expectancy at Birth (years) (1990),69.348
Life Expectancy at Birth (years) (1991),69.625
Life Expectancy at Birth (years) (1992),70.117
Life Expectancy at Birth (years) (1993),70.345
Life Expectancy at Birth (years) (1994),70.757
Life Expectancy at Birth (years) (1995),71.041
Life Expectancy at Birth (years) (1996),71.362
Life Expectancy at Birth (years) (1997),71.681
Life Expectancy at Birth (years) (1998),72.045
Life Expectancy at Birth (years) (1999),72.463
Life Expectancy at Birth (years) (2000),72.839
Life Expectancy at Birth (years) (2001),73.24
Life Expectancy at Birth (years) (2002),73.613
Life Expectancy at Birth (years) (2003),73.975
Life Expectancy at Birth (years) (2004),74.279
Life Expectancy at Birth (years) (2005),74.514
Life Expectancy at Birth (years) (2006),74.689
Life Expectancy at Birth (years) (2007),74.844
Life Expectancy at Birth (years) (2008),74.983
Life Expectancy at Birth (years) (2009),75.184
Life Expectancy at Birth (years) (2010),75.43
Life Expectancy at Birth (years) (2011),75.743
Life Expectancy at Birth (years) (2012),76.062
Life Expectancy at Birth (years) (2013),76.369
Life Expectancy at Birth (years) (2014),76.622
Life Expectancy at Birth (years) (2015),76.789
Life Expectancy at Birth (years) (2016),76.763
Life Expectancy at Birth (years) (2017),76.972
Life Expectancy at Birth (years) (2018),77.094
Life Expectancy at Birth (years) (2019),77.297
Life Expectancy at Birth (years) (2020),72.153
Life Expectancy at Birth (years) (2021),73.67
Life Expectancy at Birth (years) (2022),77.894
Expected Years of Schooling (years) (1990),11.40330029
Expected Years of Schooling (years) (1991),11.24228001
Expected Years of Schooling (years) (1992),11.42147714
Expected Years of Schooling (years) (1993),11.60067427
Expected Years of Schooling (years) (1994),11.7798714
Expected Years of Schooling (years) (1995),11.95906853
Expected Years of Schooling (years) (1996),12.13826566
Expected Years of Schooling (years) (1997),12.31746278
Expected Years of Schooling (years) (1998),12.49665991
Expected Years of Schooling (years) (1999),12.67585704
Expected Years of Schooling (years) (2000),12.85505417
Expected Years of Schooling (years) (2001),13.0342513
Expected Years of Schooling (years) (2002),13.21344843
Expected Years of Schooling (years) (2003),13.39264556
Expected Years of Schooling (years) (2004),13.57184269
Expected Years of Schooling (years) (2005),13.75103982
Expected Years of Schooling (years) (2006),13.93023695
Expected Years of Schooling (years) (2007),14.10943408
Expected Years of Schooling (years) (2008),14.28863121
Expected Years of Schooling (years) (2009),14.46782834
Expected Years of Schooling (years) (2010),14.64702547
Expected Years of Schooling (years) (2011),14.8262226
Expected Years of Schooling (years) (2012),15.00541973
Expected Years of Schooling (years) (2013),14.87827969
Expected Years of Schooling (years) (2014),15.00487995
Expected Years of Schooling (years) (2015),15.13148022
Expected Years of Schooling (years) (2016),14.99600347
Expected Years of Schooling (years) (2017),14.86052672
Expected Years of Schooling (years) (2018),14.72504997
Expected Years of Schooling (years) (2019),14.46730995
Expected Years of Schooling (years) (2020),14.86483955
Expected Years of Schooling (years) (2021),14.86483955
Expected Years of Schooling (years) (2022),14.86483955
Mean Years of Schooling (years) (1990),6.75150013
Mean Years of Schooling (years) (1991),6.808366579
Mean Years of Schooling (years) (1992),6.865233029
Mean Years of Schooling (years) (1993),6.922099478
Mean Years of Schooling (years) (1994),6.978965928
Mean Years of Schooling (years) (1995),7.035832377
Mean Years of Schooling (years) (1996),7.092698827
Mean Years of Schooling (years) (1997),7.149565276
Mean Years of Schooling (years) (1998),7.206431725
Mean Years of Schooling (years) (1999),7.263298175
Mean Years of Schooling (years) (2000),7.320164624
Mean Years of Schooling (years) (2001),7.377031074
Mean Years of Schooling (years) (2002),7.433897523
Mean Years of Schooling (years) (2003),7.490763973
Mean Years of Schooling (years) (2004),7.547630422
Mean Years of Schooling (years) (2005),7.604496872
Mean Years of Schooling (years) (2006),7.661363321
Mean Years of Schooling (years) (2007),7.718229771
Mean Years of Schooling (years) (2008),7.72631979
Mean Years of Schooling (years) (2009),7.739970207
Mean Years of Schooling (years) (2010),7.849160194
Mean Years of Schooling (years) (2011),7.907040119
Mean Years of Schooling (years) (2012),8.097470284
Mean Years of Schooling (years) (2013),8.288680077
Mean Years of Schooling (years) (2014),8.361359596
Mean Years of Schooling (years) (2015),8.701580048
Mean Years of Schooling (years) (2016),8.692919731
Mean Years of Schooling (years) (2017),8.765919685
Mean Years of Schooling (years) (2018),8.782986323
Mean Years of Schooling (years) (2019),8.800052961
Mean Years of Schooling (years) (2020),8.817119598
Mean Years of Schooling (years) (2021),9.113010406
Mean Years of Schooling (years) (2022),8.969750404
Gross National Income Per Capita (2017 PPP$) (1990),7482.469619
Gross National Income Per Capita (2017 PPP$) (1991),7742.107316
Gross National Income Per Capita (2017 PPP$) (1992),7847.554358
Gross National Income Per Capita (2017 PPP$) (1993),7930.413238
Gross National Income Per Capita (2017 PPP$) (1994),8142.906835
Gross National Income Per Capita (2017 PPP$) (1995),8201.14736
Gross National Income Per Capita (2017 PPP$) (1996),8166.640353
Gross National Income Per Capita (2017 PPP$) (1997),8401.045523
Gross National Income Per Capita (2017 PPP$) (1998),8488.663934
Gross National Income Per Capita (2017 PPP$) (1999),7761.917078
Gross National Income Per Capita (2017 PPP$) (2000),7695.853471
Gross National Income Per Capita (2017 PPP$) (2001),8009.910819
Gross National Income Per Capita (2017 PPP$) (2002),8236.865838
Gross National Income Per Capita (2017 PPP$) (2003),8292.838173
Gross National Income Per Capita (2017 PPP$) (2004),8787.608591
Gross National Income Per Capita (2017 PPP$) (2005),9144.90894
Gross National Income Per Capita (2017 PPP$) (2006),9419.404194
Gross National Income Per Capita (2017 PPP$) (2007),9444.179325
Gross National Income Per Capita (2017 PPP$) (2008),10034.13063
Gross National Income Per Capita (2017 PPP$) (2009),9965.533264
Gross National Income Per Capita (2017 PPP$) (2010),10209.0123
Gross National Income Per Capita (2017 PPP$) (2011),10818.62504
Gross National Income Per Capita (2017 PPP$) (2012),11248.72366
Gross National Income Per Capita (2017 PPP$) (2013),11622.48997
Gross National Income Per Capita (2017 PPP$) (2014),11882.95575
Gross National Income Per Capita (2017 PPP$) (2015),11697.38828
Gross National Income Per Capita (2017 PPP$) (2016),11370.2936
Gross National Income Per Capita (2017 PPP$) (2017),11406.45276
Gross National Income Per Capita (2017 PPP$) (2018),11287.69388
Gross National Income Per Capita (2017 PPP$) (2019),11053.23762
Gross National Income Per Capita (2017 PPP$) (2020),10079.83696
Gross National Income Per Capita (2017 PPP$) (2021),10496.98153
Gross National Income Per Capita (2017 PPP$) (2022),10693.23484
GDI Group (2022),1
Gender Development Index (value) (1990),
Gender Development Index (value) (1991),
Gender Development Index (value) (1992),
Gender Development Index (value) (1993),
Gender Development Index (value) (1994),
Gender Development Index (value) (1995),
Gender Development Index (value) (1996),
Gender Development Index (value) (1997),
Gender Development Index (value) (1998),
Gender Development Index (value) (1999),
Gender Development Index (value) (2000),
Gender Development Index (value) (2001),
Gender Development Index (value) (2002),
Gender Development Index (value) (2003),
Gender Development Index (value) (2004),
Gender Development Index (value) (2005),
Gender Development Index (value) (2006),
Gender Development Index (value) (2007),
Gender Development Index (value) (2008),
Gender Development Index (value) (2009),
Gender Development Index (value) (2010),0.982
Gender Development Index (value) (2011),0.982
Gender Development Index (value) (2012),0.983
Gender Development Index (value) (2013),0.98
Gender Development Index (value) (2014),0.977
Gender Development Index (value) (2015),0.979
Gender Development Index (value) (2016),0.982
Gender Development Index (value) (2017),0.984
Gender Development Index (value) (2018),0.984
Gender Development Index (value) (2019),0.989
Gender Development Index (value) (2020),1.011
Gender Development Index (value) (2021),1.007
Gender Development Index (value) (2022),0.99
HDI female (1990),
HDI female (1991),
HDI female (1992),
HDI female (1993),
HDI female (1994),
HDI female (1995),
HDI female (1996),
HDI female (1997),
HDI female (1998),
HDI female (1999),
HDI female (2000),
HDI female (2001),
HDI female (2002),
HDI female (2003),
HDI female (2004),
HDI female (2005),
HDI female (2006),
HDI female (2007),
HDI female (2008),
HDI female (2009),
HDI female (2010),0.731676829
HDI female (2011),0.73699428
HDI female (2012),0.743119772
HDI female (2013),0.747567989
HDI female (2014),0.750073406
HDI female (2015),0.755331378
HDI female (2016),0.753789714
HDI female (2017),0.75511089
HDI female (2018),0.753951651
HDI female (2019),0.753284446
HDI female (2020),0.738840993
HDI female (2021),0.749523165
HDI female (2022),0.760348324
"Life Expectancy at Birth, female (years) (1990)",72.512
"Life Expectancy at Birth, female (years) (1991)",72.822
"Life Expectancy at Birth, female (years) (1992)",73.334
"Life Expectancy at Birth, female (years) (1993)",73.533
"Life Expectancy at Birth, female (years) (1994)",73.954
"Life Expectancy at Birth, female (years) (1995)",74.228
"Life Expectancy at Birth, female (years) (1996)",74.541
"Life Expectancy at Birth, female (years) (1997)",74.857
"Life Expectancy at Birth, female (years) (1998)",75.209
"Life Expectancy at Birth, female (years) (1999)",75.618
"Life Expectancy at Birth, female (years) (2000)",75.964
"Life Expectancy at Birth, female (years) (2001)",76.329
"Life Expectancy at Birth, female (years) (2002)",76.663
"Life Expectancy at Birth, female (years) (2003)",76.997
"Life Expectancy at Birth, female (years) (2004)",77.285
"Life Expectancy at Birth, female (years) (2005)",77.534
"Life Expectancy at Birth, female (years) (2006)",77.747
"Life Expectancy at Birth, female (years) (2007)",77.947
"Life Expectancy at Birth, female (years) (2008)",78.116
"Life Expectancy at Birth, female (years) (2009)",78.308
"Life Expectancy at Birth, female (years) (2010)",78.488
"Life Expectancy at Birth, female (years) (2011)",78.675
"Life Expectancy at Birth, female (years) (2012)",78.842
"Life Expectancy at Birth, female (years) (2013)",78.997
"Life Expectancy at Birth, female (years) (2014)",79.124
"Life Expectancy at Birth, female (years) (2015)",79.209
"Life Expectancy at Birth, female (years) (2016)",79.137
"Life Expectancy at Birth, female (years) (2017)",79.395
"Life Expectancy at Birth, female (years) (2018)",79.604
"Life Expectancy at Birth, female (years) (2019)",79.953
"Life Expectancy at Birth, female (years) (2020)",76.056
"Life Expectancy at Birth, female (years) (2021)",77.462
"Life Expectancy at Birth, female (years) (2022)",80.481
"Expected Years of Schooling, female (years) (1990)",
"Expected Years of Schooling, female (years) (1991)",
"Expected Years of Schooling, female (years) (1992)",
"Expected Years of Schooling, female (years) (1993)",
"Expected Years of Schooling, female (years) (1994)",
"Expected Years of Schooling, female (years) (1995)",
"Expected Years of Schooling, female (years) (1996)",
"Expected Years of Schooling, female (years) (1997)",
"Expected Years of Schooling, female (years) (1998)",
"Expected Years of Schooling, female (years) (1999)",
"Expected Years of Schooling, female (years) (2000)",
"Expected Years of Schooling, female (years) (2001)",
"Expected Years of Schooling, female (years) (2002)",
"Expected Years of Schooling, female (years) (2003)",
"Expected Years of Schooling, female (years) (2004)",
"Expected Years of Schooling, female (years) (2005)",
"Expected Years of Schooling, female (years) (2006)",
"Expected Years of Schooling, female (years) (2007)",
"Expected Years of Schooling, female (years) (2008)",
"Expected Years of Schooling, female (years) (2009)",
"Expected Years of Schooling, female (years) (2010)",15.59517943
"Expected Years of Schooling, female (years) (2011)",15.53120359
"Expected Years of Schooling, female (years) (2012)",15.4674902
"Expected Years of Schooling, female (years) (2013)",15.45647017
"Expected Years of Schooling, female (years) (2014)",15.44545015
"Expected Years of Schooling, female (years) (2015)",15.43443012
"Expected Years of Schooling, female (years) (2016)",15.29329681
"Expected Years of Schooling, female (years) (2017)",15.15216351
"Expected Years of Schooling, female (years) (2018)",15.0110302
"Expected Years of Schooling, female (years) (2019)",14.77847004
"Expected Years of Schooling, female (years) (2020)",15.3018198
"Expected Years of Schooling, female (years) (2021)",15.3018198
"Expected Years of Schooling, female (years) (2022)",15.3018198
"Mean Years of Schooling, female (years) (1990)",6.381390095
"Mean Years of Schooling, female (years) (1991)",6.450875984
"Mean Years of Schooling, female (years) (1992)",6.520361872
"Mean Years of Schooling, female (years) (1993)",6.589847761
"Mean Years of Schooling, female (years) (1994)",6.65933365
"Mean Years of Schooling, female (years) (1995)",6.728819539
"Mean Years of Schooling, female (years) (1996)",6.798305427
