key,value
ISO3,ARG
HDR Country Name,Argentina
Human Development Groups,Very High
UNDP Developeing Regions,LAC
HDI Rank (2022),48
Human Development Index (value) (1990),0.724
Human Development Index (value) (1991),0.731
Human Development Index (value) (1992),0.736
Human Development Index (value) (1993),0.74
Human Development Index (value) (1994),0.746
Human Development Index (value) (1995),0.747
Human Development Index (value) (1996),0.752
Human Development Index (value) (1997),0.758
Human Development Index (value) (1998),0.764
Human Development Index (value) (1999),0.774
Human Development Index (value) (2000),0.78
Human Development Index (value) (2001),0.785
Human Development Index (value) (2002),0.785
Human Development Index (value) (2003),0.793
Human Development Index (value) (2004),0.798
Human Development Index (value) (2005),0.802
Human Development Index (value) (2006),0.814
Human Development Index (value) (2007),0.817
Human Development Index (value) (2008),0.825
Human Development Index (value) (2009),0.827
Human Development Index (value) (2010),0.834
Human Development Index (value) (2011),0.842
Human Development Index (value) (2012),0.844
Human Development Index (value) (2013),0.846
Human Development Index (value) (2014),0.847
Human Development Index (value) (2015),0.85
Human Development Index (value) (2016),0.848
Human Development Index (value) (2017),0.853
Human Development Index (value) (2018),0.852
Human Development Index (value) (2019),0.853
Human Development Index (value) (2020),0.841
Human Development Index (value) (2021),0.844
Human Development Index (value) (2022),0.849
Life Expectancy at Birth (years) (1990),71.784
Life Expectancy at Birth (years) (1991),72.319
Life Expectancy at Birth (years) (1992),72.43
Life Expectancy at Birth (years) (1993),72.565
Life Expectancy at Birth (years) (1994),73.172
Life Expectancy at Birth (years) (1995),73.133
Life Expectancy at Birth (years) (1996),73.307
Life Expectancy at Birth (years) (1997),73.09
Life Expectancy at Birth (years) (1998),73.474
Life Expectancy at Birth (years) (1999),73.722
Life Expectancy at Birth (years) (2000),73.926
Life Expectancy at Birth (years) (2001),74.186
Life Expectancy at Birth (years) (2002),74.408
Life Expectancy at Birth (years) (2003),74.08
Life Expectancy at Birth (years) (2004),74.855
Life Expectancy at Birth (years) (2005),75.139
Life Expectancy at Birth (years) (2006),75.433
Life Expectancy at Birth (years) (2007),75.006
Life Expectancy at Birth (years) (2008),75.641
Life Expectancy at Birth (years) (2009),75.936
Life Expectancy at Birth (years) (2010),75.721
Life Expectancy at Birth (years) (2011),76.124
Life Expectancy at Birth (years) (2012),76.467
Life Expectancy at Birth (years) (2013),76.491
Life Expectancy at Birth (years) (2014),76.755
Life Expectancy at Birth (years) (2015),76.76
Life Expectancy at Birth (years) (2016),76.308
Life Expectancy at Birth (years) (2017),76.833
Life Expectancy at Birth (years) (2018),76.999
Life Expectancy at Birth (years) (2019),77.284
Life Expectancy at Birth (years) (2020),75.892
Life Expectancy at Birth (years) (2021),75.39
Life Expectancy at Birth (years) (2022),76.064
Expected Years of Schooling (years) (1990),13.39248967
Expected Years of Schooling (years) (1991),13.35243988
Expected Years of Schooling (years) (1992),13.31250985
Expected Years of Schooling (years) (1993),13.27257983
Expected Years of Schooling (years) (1994),13.2326498
Expected Years of Schooling (years) (1995),13.45425487
Expected Years of Schooling (years) (1996),13.67585993
Expected Years of Schooling (years) (1997),13.89746499
Expected Years of Schooling (years) (1998),14.11907005
Expected Years of Schooling (years) (1999),15.17325974
